id,intencion,categoria,pregunta,tipo_respuesta,respuesta,Enlace
60,30_creditos,informacion,¿Puedo aumentar mi carga después de estar en 30 creditos?,texto,"Sí, con autorización y planeación académica.",
61,30_creditos,informacion,¿Los 30 creditos afectan mi inscripción al siguiente semestre?,texto,"Sí, puede haber restricciones en el proceso.",
62,30_creditos,informacion,¿Puedo quedar en 30 creditos por no inscribirme a materias?,texto,"Sí, si no cumples con los créditos mínimos.",
63,30_creditos,informacion,¿Los 30 creditos aplican si repruebo materias?,texto,"Sí, si no completas los créditos requeridos.",
64,30_creditos,informacion,¿Puedo regularizar materias reprobadas para evitar 30 creditos?,texto,"Sí, recursando y acreditando materias.",
65,30_creditos,informacion,¿Los 30 creditos afectan mi situación escolar?,texto,"Sí, te colocan en una situación académica irregular.",
66,30_creditos,informacion,¿Es obligatorio cumplir créditos mínimos cada semestre?,texto,"Sí, es un requisito académico.",
67,30_creditos,informacion,¿Puedo justificar no cumplir los créditos mínimos?,texto,En algunos casos puedes presentar justificación ante la institución.,
68,30_creditos,informacion,¿Los 30 creditos afectan mi permanencia en la universidad?,texto,Pueden afectar si la situación se repite.,
69,30_creditos,informacion,¿Qué pasa si solo inscribo pocas materias?,texto,Puedes quedar en condición de 30 creditos.,
70,30_creditos,informacion,¿Puedo planear mi carga para evitar 30 creditos?,texto,"Sí, con asesoría académica o checando la oferta en el semestre predilecto.",
71,30_creditos,informacion,¿Los 30 creditos afectan mi avance semestral?,texto,"Sí, retrasan tu progreso.",
72,30_creditos,informacion,¿Puedo recuperarme después de estar en 30 creditos?,texto,"Sí, cumpliendo con la carga en ciclos siguientes.",
73,30_creditos,informacion,¿Debo acudir a Control Escolar si estoy en 30 creditos?,texto,"No, debes acudir con tu coordinador.",
74,30_creditos,informacion,¿Debo acudir con mi tutor académico por 30 creditos?,texto,"Sí, para planificar tu recuperación académica.",
75,30_creditos,informacion,¿Debo hacer un plan de materias si estoy en 30 creditos?,texto,"Sí, es recomendable organizar tu carga futura.",
76,30_creditos,informacion,¿Puedo solicitar asesoría académica si estoy en 30 creditos?,texto,"Sí, con tu coordinador o tutor.",
77,30_creditos,informacion,¿Debo revisar mi kardex si estoy en 30 creditos?,texto,"Sí, para conocer tu situación de créditos.",
78,30_creditos,informacion,¿Puedo ajustar mi inscripción después de caer en 30 creditos?,texto,Depende del periodo y autorizaciones.,
79,30_creditos,informacion,¿Debo hacer algún trámite especial por 30 creditos?,texto,"No siempre, pero debes dar seguimiento académico.",
80,30_creditos,informacion,¿Puedo solicitar apoyo institucional si estoy en 30 creditos?,texto,"Sí, a través de tu coordinación.",
81,30_creditos,informacion,¿Debo hablar con Control Escolar antes de reinscribirme?,texto,"Sí, para conocer tus condiciones.",
82,30_creditos,informacion,¿Puedo recibir orientación para evitar reincidir en 30 creditos?,texto,"Sí, con asesoría académica.",
83,30_creditos,informacion,¿Dónde puedo revisar mi carga académica en UdeG?,enlace,https://www.siiau.udg.mx/,
84,30_creditos,informacion,¿Dónde consulto mis materias inscritas y créditos?,enlace,https://leoalumnos.udg.mx/,
85,30_creditos,informacion,¿Los 30 creditos afectan mi inscripción en materias avanzadas?,texto,Pueden limitar tu acceso dependiendo del caso.,
86,30_creditos,informacion,¿Puedo tomar materias de verano para recuperar créditos?,texto,"Sí, si están disponibles.",
87,30_creditos,informacion,¿Los 30 creditos afectan mi progreso curricular?,texto,"Sí, pueden retrasarlo.",
88,30_creditos,informacion,¿Puedo evitar 30 creditos si apruebo todas mis materias?,texto,"Sí, si cumples con la carga mínima.",
89,30_creditos,informacion,¿Los 30 creditos aplican si dejo materias sin cursar?,texto,"Sí, si no completas los créditos requeridos.",
90,30_creditos,informacion,¿Puedo mejorar mi situación con materias adicionales?,texto,"Sí, aumentando tu carga en ciclos futuros.",
91,30_creditos,informacion,¿Los 30 creditos afectan mi trayectoria académica general?,texto,"Sí, reflejan bajo cumplimiento de carga.",
92,30_creditos,informacion,¿Puedo equilibrar trabajo y estudios sin caer en 30 creditos?,texto,"Sí, organizando adecuadamente tu tiempo.",
93,30_creditos,informacion,¿Los 30 creditos son permanentes en mi historial?,texto,Quedan registrados como parte de tu trayectoria.,
94,30_creditos,informacion,¿Puedo evitar sanciones si solo ocurre una vez?,texto,Depende de la normativa y tu desempeño posterior.,
95,30_creditos,información,que significa estar abajo de 30 creditos,texto,Es la situación académica en la que no cubres el mínimo de 30 créditos requeridos en el semestre.,
96,30_creditos,información,que significa no completar 30 creditos,texto,Significa que no cursaste o no acreditaste la carga mínima de créditos del ciclo.,
97,30_creditos,información,que pasa si llevo menos de 30 creditos,texto,Debes llenar el formato correspondiente y llevarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
98,30_creditos,información,que hago si voy a meter menos de 30 creditos,texto,Debes llenar el formato correspondiente y entregarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
99,30_creditos,información,como solicito llevar menos de 30 creditos,texto,Debes llenar el formato de menos de 30 créditos y llevarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
100,30_creditos,información,como hago el tramite para meter menos de 30 creditos,texto,Debes completar el formato oficial y presentarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
101,30_creditos,información,puedo meter menos de 30 creditos,texto,"Sí, pero debes llenar el formato correspondiente y llevarlo con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
102,30_creditos,información,si quiero llevar pocas materias que tengo que hacer,texto,Debes tramitar el formato para llevar menos de 30 créditos.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
103,30_creditos,información,si mi carga queda abajo de 30 creditos que hago,texto,Debes llenar el formato correspondiente y llevarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
104,30_creditos,información,tengo permiso para llevar menos de 30 creditos,texto,"Sí, pero debes solicitarlo mediante el formato correspondiente.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
105,30_creditos,información,donde consigo el formato de menos de 30 creditos,texto,Puedes descargarlo en el enlace oficial del formato.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
106,30_creditos,información,donde descargo el formato para menos de 30 creditos,enlace,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
107,30_creditos,información,donde bajo el oficio de menos de 30 creditos,enlace,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
108,30_creditos,información,a quien le llevo el formato de menos de 30 creditos,texto,Debes llevarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
109,30_creditos,información,con quien veo lo de menos de 30 creditos,texto,Debes revisarlo con tu coordinador académico.,
110,30_creditos,información,tengo que hablar con mi coordinador si voy a meter menos de 30 creditos,texto,"Sí, debes llevarle el formato correspondiente.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
111,30_creditos,información,tengo que hacer tramite si no completo 30 creditos,texto,"Sí, debes llenar el formato correspondiente para llevar menos de 30 créditos.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
112,30_creditos,información,es obligatorio avisar si llevare menos de 30 creditos,texto,"Sí, debes presentar el formato con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
113,30_creditos,información,estar abajo de 30 creditos afecta mi avance,texto,"Sí, puede retrasar tu progreso académico.",
114,30_creditos,información,estar abajo de 30 creditos afecta mi trayectoria,texto,"Sí, puede afectar tu trayectoria escolar al disminuir tu avance.",
115,30_creditos,información,estar abajo de 30 creditos afecta mi reinscripcion,texto,Puede afectar tu situación académica y requerir seguimiento.,
116,30_creditos,información,estar abajo de 30 creditos afecta mi historial,texto,"Sí, forma parte de tu trayectoria académica.",
117,30_creditos,información,estar abajo de 30 creditos afecta mi promedio,texto,"No directamente, pero refleja una carga académica menor a la requerida.",
118,30_creditos,información,estar abajo de 30 creditos puede retrasarme,texto,"Sí, porque avanzas con menos créditos de los requeridos.",
119,30_creditos,información,si meto menos de 30 creditos puedo seguir estudiando,texto,"Sí, pero debes hacer el trámite correspondiente y dar seguimiento a tu situación académica.",
120,30_creditos,información,si quedo abajo de 30 creditos me dan de baja,texto,Depende de tu situación académica y de si la condición se repite.,
121,30_creditos,información,si vuelvo a quedar abajo de 30 creditos que pasa,texto,Puedes enfrentar mayores complicaciones académicas y necesitar seguimiento con tu coordinación.,
122,30_creditos,información,puedo regularizarme si quede abajo de 30 creditos,texto,"Sí, puedes regularizarte cumpliendo la carga mínima en ciclos posteriores.",
123,30_creditos,información,puedo recuperar creditos despues,texto,"Sí, cursando y acreditando materias en semestres posteriores.",
124,30_creditos,información,puedo tomar verano para recuperar creditos,texto,"Sí, si hay materias disponibles en ese periodo.",
125,30_creditos,información,si doy de baja materias y quedo abajo de 30 creditos que pasa,texto,Debes tramitar la autorización correspondiente para llevar menos de 30 créditos.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
126,30_creditos,información,si repruebo materias puedo quedar abajo de 30 creditos,texto,"Sí, puede suceder si no completas los créditos mínimos requeridos.",
127,30_creditos,información,si no meto suficientes materias puedo quedar abajo de 30 creditos,texto,"Sí, si no alcanzas la carga mínima requerida del semestre.",
128,30_creditos,información,los 30 creditos se basan en las materias que llevo,texto,Se relacionan con la carga académica que cursas y acreditas en el ciclo.,
129,30_creditos,información,los 30 creditos aplican para todos,texto,"Sí, es una regla general de carga mínima académica.",
130,30_creditos,información,es obligatorio cumplir 30 creditos por semestre,texto,"Sí, es la carga mínima establecida salvo autorización para llevar menos.",
131,30_creditos,información,puedo justificar llevar menos de 30 creditos,texto,"Sí, debes presentar el formato correspondiente con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
132,30_creditos,información,si trabajo puedo pedir menos de 30 creditos,texto,"Sí, debes tramitar la solicitud correspondiente con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
133,30_creditos,información,si tengo problemas personales puedo pedir menos de 30 creditos,texto,"Sí, debes llenar el formato correspondiente y presentarlo con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
134,30_creditos,información,si no puedo con muchas materias puedo meter menos de 30 creditos,texto,"Sí, pero debes solicitarlo mediante el formato oficial.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
135,30_creditos,información,que hago para no caer en 30 creditos,texto,Debes planear tu carga académica y cumplir con el mínimo de créditos requerido.,
136,30_creditos,información,como evito quedar abajo de 30 creditos,texto,Debes organizar tu carga académica y revisar bien tus materias antes de inscribirte.,
137,30_creditos,información,puedo pedir ayuda si estoy en 30 creditos,texto,"Sí, puedes acudir con tu coordinador o tutor para orientación académica.",
138,30_creditos,información,con quien me asesoro si estoy en 30 creditos,texto,Puedes pedir orientación con tu coordinador o tutor académico.,
139,30_creditos,información,debo revisar mi kardex si estoy en 30 creditos,texto,"Sí, te ayuda a verificar tu situación de créditos y avance académico.",https://leoalumnos.udg.mx/
140,30_creditos,información,donde reviso mi carga de creditos,enlace,https://www.siiau.udg.mx/,
141,30_creditos,información,donde veo cuantas materias y creditos llevo,enlace,https://leoalumnos.udg.mx/,
142,30_creditos,información,donde consulto mi kardex para ver mis creditos,enlace,https://leoalumnos.udg.mx/,
143,30_creditos,información,donde reviso mi situacion academica de creditos,enlace,https://www.siiau.udg.mx/,
144,30_creditos,información,puedo mejorar mi situacion el siguiente semestre,texto,"Sí, cumpliendo la carga académica requerida en el siguiente ciclo.",
145,30_creditos,información,estar en 30 creditos afecta mi titulacion,texto,"Indirectamente sí, porque puede retrasar tu avance en la carrera.",
146,30_creditos,información,estar en 30 creditos afecta mi beca,texto,"Sí, puede afectar becas que exigen determinado desempeño o carga académica.",
147,30_creditos,información,¿Necesito autorización para llevar menos de 30 créditos?,texto,"Sí, debes llenar el formato correspondiente y llevarlo con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
148,30_creditos,información,¿Qué trámite hago si voy a cursar menos de 30 créditos?,texto,Debes completar el formato oficial para llevar menos de 30 créditos y entregarlo con tu coordinador.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
149,30_creditos,información,¿Dónde consigo el oficio para llevar menos de 30 créditos?,enlace,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
150,30_creditos,información,¿Con quién debo ver lo de una carga menor a 30 créditos?,texto,Debes revisarlo con tu coordinador académico y entregarle el formato correspondiente.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
151,30_creditos,información,¿Puedo llevar menos de 30 créditos si tengo una justificación?,texto,"Sí, puedes solicitarlo mediante el formato oficial y presentarlo con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
152,30_creditos,información,¿Qué pasa si mi carga académica queda menor a 30 créditos?,texto,Debes tramitar la autorización correspondiente para llevar menos de 30 créditos.,https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
153,30_creditos,información,¿Tengo que avisar si voy a inscribir menos de 30 créditos?,texto,"Sí, debes presentar el formato correspondiente con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
154,30_creditos,información,¿Llevar menos de 30 créditos retrasa mi carrera?,texto,"Sí, puede retrasar tu avance académico al cursar una carga menor a la requerida.",
155,30_creditos,información,¿Estar abajo de 30 créditos afecta mi avance académico?,texto,"Sí, puede afectar tu progreso en la carrera al no cumplir la carga mínima del semestre.",
156,30_creditos,información,¿Puedo seguir inscrito si llevo menos de 30 créditos?,texto,"Sí, pero debes hacer el trámite correspondiente y dar seguimiento con tu coordinación.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
157,30_creditos,información,¿Si trabajo puedo solicitar llevar menos de 30 créditos?,texto,"Sí, puedes solicitarlo llenando el formato correspondiente y entregándolo con tu coordinador.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
158,30_creditos,información,¿Si tengo problemas personales puedo meter menos de 30 créditos?,texto,"Sí, puedes pedir autorización para llevar menos de 30 créditos mediante el formato oficial.",https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx
159,30_creditos,información,¿Dónde reviso cuántos créditos llevo inscritos?,enlace,https://www.siiau.udg.mx/,
160,30_creditos,información,¿Dónde puedo consultar mi kardex para ver mis créditos?,enlace,https://leoalumnos.udg.mx/,
161,30_creditos,información,¿Con quién puedo pedir orientación si quedé abajo de 30 créditos?,texto,Puedes pedir orientación con tu coordinador o tutor académico para revisar tu situación.,
162,alta_baja_materias,tramites,¿Cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
163,alta_baja_materias,tramites,¿Podrías decirme ¿cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
164,alta_baja_materias,tramites,Necesito saber ¿cómo doy de alta una materia,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
165,alta_baja_materias,tramites,¿Me puedes explicar ¿cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
166,alta_baja_materias,tramites,¿Dónde puedo ver ¿cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
167,alta_baja_materias,tramites,Quiero saber ¿cómo doy de alta una materia,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
168,alta_baja_materias,tramites,¿Cómo funciona ¿cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
169,alta_baja_materias,tramites,¿Alguien sabe ¿cómo doy de alta una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
170,alta_baja_materias,tramites,Información sobre ¿cómo doy de alta una materia,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
171,alta_baja_materias,tramites,¿Cómo doy de baja una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
172,alta_baja_materias,tramites,¿Podrías decirme ¿cómo doy de baja una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
173,alta_baja_materias,tramites,Necesito saber ¿cómo doy de baja una materia,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
174,alta_baja_materias,tramites,¿Me puedes explicar ¿cómo doy de baja una materia?,texto,Para dar de alta-baja una materia debes descargar el formato correspondiente y entregarlo en coordinación. https://docs.google.com/document/d/10bpOD5No1h_HZU2qKyhob01dieAg0EUTrGCL2sWzdsI/edit?tab=t.0,
